brand,series_name,positioning
삼성,QN900,삼성 8K 최상위 플래그십. Neo QLED 8K 패널과 NQ8 AI 프로세서로 최고 밝기·업스케일링. 대화면 홈시어터 최상위 수요층 대상.
삼성,QN800,8K 진입 라인업. QN900 대비 로컬디밍·밝기 소폭 하향, 8K를 합리적 가격에 원하는 층.
삼성,QN90,4K Neo QLED 플래그십. 미니LED 고휘도+반사방지, 밝은 거실·스포츠·게이밍(144Hz)에 강점. OLED 번인이 부담스러운 층의 대안.
삼성,QN85,4K Neo QLED 상위 보급형. QN90 대비 로컬디밍 존 축소, 미니LED 화질을 합리적 가격에.
삼성,S95,삼성 OLED 최상위. QD-OLED 패널로 완벽한 명암비와 광시야각, 원 커넥트 박스로 깔끔한 설치. 화질 최우선 프리미엄 층.
삼성,S90,삼성 OLED 메인스트림. S95 대비 원 커넥트 미제공, QD-OLED 화질을 더 낮은 가격에.
삼성,QN95,2023 4K Neo QLED 플래그십(전년). QN90 상위, 원 커넥트 박스 포함.
삼성,DU8000,Crystal UHD 보급형 LCD. 4K 기본기와 Tizen 스마트 기능을 저가에. 세컨드 TV·가성비 수요.
LG,G,LG OLED 갤러리 플래그십. MLA/4세대 OLED evo로 최고 밝기, 벽밀착 갤러리 디자인. 인테리어+화질 최상위.
LG,C,LG OLED 메인스트림 베스트셀러. evo 패널+144Hz 게이밍, 스탠드 기본. 가장 균형 잡힌 프리미엄 OLED.
LG,B,LG OLED 엔트리. C 대비 프로세서·밝기 하향, OLED 명암비를 가장 저렴하게 경험.
LG,QNED90,LG 미니LED 플래그십. OLED 번인 걱정 없이 고휘도, 밝은 환경·대화면 LCD 수요.
LG,QNED80,LG LCD 보급형. 에지형 백라이트, 4K 기본기와 webOS.
Sony,BRAVIA9,소니 미니LED 플래그십. XR 프로세서 기반 화질처리·음질(음향일체형)로 영화·콘텐츠 몰입 최상위.
Sony,BRAVIA8,소니 OLED 라인. A80L 후속, 균형 잡힌 OLED 화질과 사운드.
Sony,BRAVIA7,소니 미니LED 중급. BRAVIA9 대비 존 수 하향, 합리적 미니LED.
Sony,A95L,소니 QD-OLED 최상위(2023). XR 프로세서+QD-OLED로 색·명암 최상, 프리미엄 화질 마니아.
Sony,A80L,소니 OLED 메인스트림(2023). 균형형 WOLED.
Sony,X90L,소니 풀어레이 LCD(2023). 게이밍·밝기 균형, 합리적 프리미엄 LCD.
TCL,QM8,TCL 미니LED 플래그십. 초고휘도·다존 로컬디밍을 공격적 가격에. 가성비 프리미엄 대화면.
TCL,C855,TCL 미니LED 상위. QM8 계열, 고휘도 HDR을 합리적 가격에.
TCL,C845,TCL 미니LED(2023). 가성비 미니LED 대표 모델.
Hisense,U8,하이센스 ULED 미니LED 플래그십. 초고휘도·게이밍(144Hz)을 저가에. 밝은 거실 가성비 최상위.
Hisense,U7,하이센스 ULED 상위. U8 대비 밝기 하향, 스포츠·게이밍 가성비.
Hisense,U6,하이센스 ULED 보급형 미니LED. 미니LED 진입 최저가.
LG,QNED9M,LG QNED evo 미니LED(2025). OLED 대안 고휘도 LCD, α8 AI 프로세서. 밝은 환경·대화면.
Sony,BRAVIA8II,소니 QD-OLED 플래그십(2025). A95L 후속, XR 프로세서로 색·명암 최상. 화질 최우선 프리미엄.
Sony,BRAVIA5,소니 미니LED(2025). BRAVIA9 하위, 고휘도 HDR과 XR 화질을 합리적 가격에.
TCL,QM8K,TCL 미니LED 플래그십(2025). 초고휘도·초다존 로컬디밍을 공격적 가격에. 가성비 프리미엄 대화면.
TCL,QM7K,TCL 미니LED 상위(2025). QM8K 하위, 고휘도 HDR 가성비.
TCL,QM6K,TCL 미니LED 보급형(2025). 미니LED 진입 가성비.
